episode,task_name,task_index,total_reward,num_steps,final_best_fitness,mean_step_reward,mean_normalized_step_reward,num_updates,replay_size,actor_loss,critic_loss,alpha_loss,alpha,q_mean,log_prob,action_saturation
73,BBOB_F1,0,27.947209949466647,99,2.93956106851423e-11,0.2822950499946126,0.17523950426084312,99,7326,-37.592586517333984,4.621716499328613,-55.20562744140625,0.02992868609726429,38.01964569091797,14.266124725341797,0.1276041716337204
74,BBOB_F1,0,20.171703514527934,99,4.614146607123018e-08,0.20375458095482765,-0.08193686251877988,99,7425,-38.683509826660156,4.692211151123047,-39.82359313964844,0.029276752844452858,39.23168182373047,18.721141815185547,0.13750000298023224
75,BBOB_F1,0,19.387795812636114,99,1.943256682274081e-07,0.19583632133975873,-0.10637850382417083,99,7524,-38.425994873046875,9.697900772094727,-47.396728515625,0.028572114184498787,38.90234375,16.667911529541016,0.1354166716337204
76,BBOB_F1,0,27.238651110528746,99,5.964135174318123e-11,0.2751378900053409,0.15273995415574906,99,7623,-39.296104431152344,5.798399448394775,-56.85492706298828,0.02802213840186596,39.69114685058594,14.094451904296875,0.11874999850988388
77,BBOB_F1,0,13.275787971884474,99,6.404052623701752e-05,0.1340988684028735,-0.3071816957665618,99,7722,-37.85410690307617,3.7368545532226562,-57.0771598815918,0.027215836569666862,38.23963165283203,14.161439895629883,0.12031249701976776
78,BBOB_F1,0,19.407558512224462,99,1.4630372026285473e-07,0.19603594456792386,-0.10282408387193308,99,7821,-39.75988006591797,4.230229377746582,-52.94527053833008,0.026629045605659485,40.169952392578125,15.396682739257812,0.12552084028720856
79,BBOB_F1,0,18.6668916051474,99,4.6781712008653394e-07,0.18855446065805453,-0.1254507202997778,99,7920,-38.672515869140625,4.607327461242676,-39.30495071411133,0.026077790185809135,39.173866271972656,19.221120834350586,0.1458333283662796
80,BBOB_F1,0,27.129330860981387,99,8.37775764715847e-11,0.2740336450604181,0.15383440811974095,99,8019,-38.7623405456543,29.364421844482422,-46.68925476074219,0.025599032640457153,39.204288482666016,17.260725021362305,0.12135417014360428
81,BBOB_F1,0,27.14899231619513,99,8.507144916148194e-11,0.27423224561813264,0.15236754423047105,99,8118,-40.28748321533203,4.124773025512695,-29.82668685913086,0.02515382133424282,40.83846664428711,21.90056037902832,0.14479166269302368
82,BBOB_F1,0,26.589871921138748,99,1.2850346514854153e-10,0.26858456485998733,0.13241768367359016,99,8217,-39.0931510925293,4.097585201263428,-28.38767433166504,0.024960720911622047,39.6500244140625,22.30756378173828,0.13437500596046448
83,BBOB_F1,0,33.36198338556123,99,2.3303972671927135e-13,0.33698973116728503,0.35279533765139814,99,8316,-39.3033332824707,17.077922821044922,-18.82301139831543,0.024728501215577126,39.91946029663086,24.9122371673584,0.13906249403953552
84,BBOB_F1,0,37.363756221721246,99,1.7239770126371632e-15,0.3774116790072854,0.47847316622345426,99,8415,-39.62680435180664,3.9007906913757324,-48.25337219238281,0.024227716028690338,40.03947448730469,17.028703689575195,0.12083332985639572
85,BBOB_F1,0,29.52358360315944,99,7.858882045751568e-12,0.29821801619352967,0.21643036043265956,99,8514,-38.712890625,5.155174255371094,-51.41883087158203,0.02365795150399208,39.09779739379883,16.265602111816406,0.13124999403953552
86,BBOB_F1,0,34.96115887434331,99,4.740879635269826e-14,0.35314301893276073,0.39094165813719695,99,8613,-39.830387115478516,3.9222970008850098,-26.081993103027344,0.02310878038406372,40.36376190185547,23.076845169067383,0.15625
87,BBOB_F1,0,21.244984791276437,99,2.6238157768560887e-08,0.21459580597248923,-0.060864964960008705,99,8712,-39.20505905151367,5.238958835601807,-21.852148056030273,0.02269618958234787,39.755027770996094,24.227205276489258,0.16302083432674408
88,BBOB_F1,0,27.553799043859634,99,3.179234686313952e-11,0.2783212024632285,0.14491772111560436,99,8811,-39.78077697753906,3.5833640098571777,-56.794769287109375,0.022241536527872086,40.116180419921875,15.075621604919434,0.11874999850988388
89,BBOB_F1,0,31.320617654821145,99,1.058865285210443e-12,0.3163698753012236,0.2654613914424436,99,8910,-38.94062423706055,47.89817428588867,-54.49269104003906,0.021684905514121056,39.28280258178711,15.775370597839355,0.11614583432674408
90,BBOB_F1,0,28.64903024821531,99,2.7322321822106336e-11,0.28938414392136674,0.17588765457558483,99,9009,-38.774871826171875,13.48681640625,-39.869510650634766,0.02113279141485691,39.19049835205078,19.66217041015625,0.15000000596046448
91,BBOB_F1,0,27.76221267114199,99,5.443174566501872e-11,0.28042639061759594,0.14525422274466984,99,9108,-39.881134033203125,5.816404819488525,-25.82157325744629,0.020601734519004822,40.362247467041016,23.348711013793945,0.15989583730697632
92,BBOB_F1,0,29.037287431493308,99,9.002207163696874e-12,0.29330593365144747,0.18452103977121062,99,9207,-39.54283142089844,4.300638675689697,-23.616243362426758,0.02024589106440544,40.02766418457031,23.944072723388672,0.17291666567325592
93,BBOB_F1,0,26.411402116185698,99,1.4715975219116082e-10,0.26678183955743123,0.09735870328267694,99,9306,-39.52162170410156,5.0523176193237305,-32.73766326904297,0.01988735981285572,39.95213317871094,21.643142700195312,0.1484375
94,BBOB_F1,0,26.96093938054669,99,1.3536406756045063e-10,0.2723327210156231,0.11387558789047983,99,9405,-38.904991149902344,4.589913368225098,-39.54662322998047,0.01943761296570301,39.293121337890625,19.963645935058594,0.14114584028720856
95,BBOB_F1,0,27.133391715555987,99,5.666851990714217e-11,0.27407466379349477,0.11890919761959329,99,9504,-40.230899810791016,14.272310256958008,-10.79292106628418,0.019023073837161064,40.749820709228516,27.275894165039062,0.18281249701976776
96,BBOB_F1,0,32.94172346545936,99,3.382672505886558e-13,0.3327446814692863,0.30607734027478944,99,9603,-37.778194427490234,4.176255226135254,-35.221309661865234,0.018758008256554604,38.17483901977539,21.141399383544922,0.15312500298023224
97,BBOB_F1,0,25.13371404382864,99,4.5979219068526765e-10,0.2538758994326126,0.04963662269146715,99,9702,-39.089298248291016,4.035635948181152,-7.0749664306640625,0.01833873614668846,39.6070556640625,28.230661392211914,0.17916665971279144
98,BBOB_F1,0,28.081399920881143,99,3.304682510744907e-11,0.2836505042513247,0.14492618981404992,99,9801,-37.95753860473633,3.7121095657348633,30.96908950805664,0.018327083438634872,38.64922332763672,37.74336624145508,0.22239583730697632
99,BBOB_F1,0,25.371578533577342,99,4.1210846297594035e-10,0.25627857104623575,0.055266596621353636,99,9900,-41.11936950683594,36.86243438720703,13.865118026733398,0.01869010366499424,41.7451171875,33.48381042480469,0.19114583730697632
100,BBOB_F1,0,27.335476173535856,99,7.23635315210937e-11,0.27611592094480664,0.11881824162153554,99,9999,-39.09510803222656,4.978354454040527,-47.07634353637695,0.0185951329767704,39.43337631225586,18.185272216796875,0.12187500298023224
101,BBOB_F1,0,25.845342094097337,99,4.715172946594533e-10,0.2610640615565388,0.06910851357742558,99,10098,-40.328521728515625,5.206638336181641,-42.574546813964844,0.017980346456170082,40.677528381347656,19.40447235107422,0.14427083730697632
102,BBOB_F1,0,20.908251348423185,99,4.7303293720807986e-08,0.2111944580648808,-0.09268314467071899,99,10197,-39.673545837402344,5.6315789222717285,-20.578388214111328,0.017512910068035126,40.10991287231445,24.912160873413086,0.16875000298023224
103,BBOB_F1,0,13.194671430239822,99,9.855447239685172e-05,0.13327950939636185,-0.34272021244442313,99,10296,-40.86663055419922,7.648874282836914,-18.54843521118164,0.017466558143496513,41.310630798339844,25.41714859008789,0.16510416567325592
104,BBOB_F1,0,18.604676822668132,99,3.1032259495633247e-07,0.18792602851179932,-0.16311299052910624,99,10395,-39.01359558105469,11.211933135986328,-9.650424003601074,0.017165927216410637,39.48789978027344,27.62576675415039,0.18020834028720856
105,BBOB_F1,0,26.782389469494635,99,1.0820911364851931e-10,0.27052918656055175,0.10470945473083636,99,10494,-40.42744064331055,12.678695678710938,-12.81930923461914,0.016895491629838943,40.88124084472656,26.858539581298828,0.16718749701976776
106,BBOB_F1,0,31.04264582638143,99,1.6385819665777559e-12,0.31356207905435785,0.24158552870097244,99,10593,-40.8021354675293,4.93920373916626,-35.992034912109375,0.01700330525636673,41.16210174560547,21.165687561035156,0.14531250298023224
107,BBOB_F1,0,27.78710346488963,99,5.21490166535981e-11,0.2806778127766629,0.13371557337492238,99,10692,-40.64503479003906,4.706523895263672,-28.669727325439453,0.01679910719394684,41.03120422363281,22.9838924407959,0.140625
108,BBOB_F1,0,32.19098764609022,99,5.955385835715678e-13,0.3251614913746487,0.2746782029517853,99,10791,-40.599605560302734,5.47438383102417,-9.403905868530273,0.016560828313231468,41.05853271484375,27.706663131713867,0.17499999701976776
109,BBOB_F1,0,28.204048604925177,99,2.1601229688017908e-11,0.284889379847729,0.14313894731453533,99,10890,-39.799827575683594,5.674051761627197,-15.145097732543945,0.016349291428923607,40.23019790649414,26.318078994750977,0.17499999701976776
110,BBOB_F1,0,26.173290944684428,99,1.1727527236533015e-10,0.2643766762089335,0.076578004045044,99,10989,-39.44298553466797,5.759364128112793,-18.44684410095215,0.01613767258822918,39.855045318603516,25.529590606689453,0.16197916865348816
111,BBOB_F1,0,15.856351087615241,99,6.9402936244943225e-06,0.16016516250116403,-0.26072371894785207,99,11088,-40.248355865478516,7.020884037017822,-7.5399627685546875,0.01599656604230404,40.699127197265625,28.176677703857422,0.17135415971279144
112,BBOB_F1,0,33.83849141130368,99,1.422355525330759e-13,0.34180294354852203,0.3277144585426497,99,11187,-39.990875244140625,3.605208396911621,5.508795261383057,0.015766631811857224,40.48483657836914,31.32748794555664,0.18854166567325592
113,BBOB_F1,0,27.873047980221457,99,4.7235269222266254e-11,0.28154593919415616,0.13022652711951804,99,11286,-38.867958068847656,18.112817764282227,-19.089019775390625,0.015592155046761036,39.26427459716797,25.41213607788086,0.16249999403953552
114,BBOB_F1,0,16.808819276915983,99,2.3212818751788473e-06,0.1697860533021816,-0.23147801526229372,99,11385,-38.32387161254883,6.634365081787109,-30.87813949584961,0.015288504771888256,38.669681549072266,22.6136417388916,0.14479166269302368
115,BBOB_F1,0,10.86411778759611,99,0.0010376390874317458,0.10973856351107181,-0.422866798935305,99,11484,-39.028053283691406,4.328374862670898,27.34424591064453,0.015106504783034325,39.57966232299805,36.52169418334961,0.21979166567325592
116,BBOB_F1,0,21.427079291667475,99,1.2661252941813877e-08,0.21643514436027753,-0.07407044909117612,99,11583,-38.039154052734375,15.220789909362793,2.261542797088623,0.015258855186402798,38.50516128540039,30.54070281982422,0.19374999403953552
